Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
19-4071,Forest and Conservation Technicians,detail,"29,120",1.10%,0.197,$19.96 ,$21.64 ,"$45,000 ",0.30%
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,"88,360",1.80%,0.597,$25.66 ,$28.88 ,"$60,070 ",0.90%
19-4092,Forensic Science Technicians,detail,"17,590",2.20%,0.119,$30.64 ,$33.30 ,"$69,260 ",0.60%
19-4099,"Life, Physical, and Social Science Technicians, All Other",detail,"70,770",2.00%,0.479,$24.18 ,$27.78 ,"$57,790 ",1.10%
19-5010,Occupational Health and Safety Specialists and Technicians,broad,"133,100",0.90%,0.9,$36.17 ,$37.86 ,"$78,750 ",0.90%
19-5011,Occupational Health and Safety Specialists,detail,"109,430",1.00%,0.74,$37.77 ,$39.47 ,"$82,110 ",1.00%
19-5012,Occupational Health and Safety Technicians,detail,"23,670",2.10%,0.16,$27.87 ,$30.40 ,"$63,230 ",1.00%
21-0000,Community and Social Service Occupations,major,"2,313,620",0.40%,15.645,$23.74 ,$26.81 ,"$55,760 ",0.50%
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,"2,225,730",0.40%,15.05,$23.72 ,$26.76 ,"$55,660 ",0.50%
21-1010,Counselors,broad,"834,740",0.60%,5.645,$24.61 ,$28.08 ,"$58,400 ",0.60%
21-1012,"Educational, Guidance, and Career Counselors and Advisors",detail,"308,000",0.70%,2.083,$28.92 ,$30.87 ,"$64,200 ",0.70%
21-1013,Marriage and Family Therapists,detail,"62,080",4.60%,0.42,$27.20 ,$30.44 ,"$63,300 ",1.80%
21-1015,Rehabilitation Counselors,detail,"82,420",2.10%,0.557,$19.23 ,$22.13 ,"$46,020 ",0.90%
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detail,"344,970",0.80%,2.333,$23.90 ,$27.03 ,"$56,230 ",0.80%
21-1019,"Counselors, All Other",detail,"37,270",3.80%,0.252,$20.86 ,$23.93 ,"$49,770 ",1.50%
21-1020,Social Workers,broad,"689,750",0.50%,4.664,$26.61 ,$28.58 ,"$59,440 ",0.40%
21-1021,"Child, Family, and School Social Workers",detail,"344,770",0.60%,2.331,$24.43 ,$27.25 ,"$56,680 ",0.60%
21-1022,Healthcare Social Workers,detail,"182,420",0.80%,1.234,$28.98 ,$30.17 ,"$62,760 ",0.50%
21-1023,Mental Health and Substance Abuse Social Workers,detail,"107,940",1.40%,0.73,$24.63 ,$28.91 ,"$60,130 ",0.80%
21-1029,"Social Workers, All Other",detail,"54,620",2.20%,0.369,$29.53 ,$30.94 ,"$64,360 ",0.50%
21-1090,Miscellaneous Community and Social Service Specialists,broad,"701,240",0.50%,4.742,$21.18 ,$23.40 ,"$48,680 ",0.50%
21-1091,Health Education Specialists,detail,"56,190",1.50%,0.38,$28.84 ,$32.07 ,"$66,710 ",0.70%
21-1092,Probation Officers and Correctional Treatment Specialists,detail,"89,920",0.50%,0.608,$28.78 ,$31.21 ,"$64,920 ",0.40%
21-1093,Social and Human Service Assistants,detail,"399,560",0.90%,2.702,$18.52 ,$20.00 ,"$41,600 ",0.60%
21-1094,Community Health Workers,detail,"61,300",2.50%,0.414,$22.21 ,$23.99 ,"$49,900 ",0.70%
21-1099,"Community and Social Service Specialists, All Other",detail,"94,270",1.60%,0.637,$22.74 ,$24.82 ,"$51,620 ",0.70%
21-2000,Religious Workers,minor,"87,890",1.50%,0.594,$24.37 ,$28.11 ,"$58,480 ",0.90%
21-2011,Clergy,detail,"53,140",1.50%,0.359,$26.71 ,$28.93 ,"$60,180 ",0.80%
21-2021,"Directors, Religious Activities and Education",detail,"24,030",4.00%,0.162,$23.74 ,$29.11 ,"$60,540 ",2.50%
21-2099,"Religious Workers, All Other",detail,"10,720",5.20%,0.072,$18.93 ,$21.84 ,"$45,420 ",2.10%
23-0000,Legal Occupations,major,"1,216,600",0.50%,8.227,$45.76 ,$59.87 ,"$124,540 ",2.00%
23-1000,"Lawyers, Judges, and Related Workers",minor,"771,200",1.00%,5.215,$64.19 ,$76.78 ,"$159,710 ",1.80%
23-1010,Lawyers and Judicial Law Clerks,broad,"722,710",1.00%,4.887,$64.49 ,$77.73 ,"$161,680 ",1.80%
23-1011,Lawyers,detail,"707,160",1.00%,4.782,$65.26 ,$78.74 ,"$163,770 ",1.80%
23-1012,Judicial Law Clerks,detail,"15,540",0.90%,0.105,$27.64 ,$31.88 ,"$66,310 ",1.40%
23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,"48,500",2.20%,0.328,$54.61 ,$62.68 ,"$130,380 ",2.70%
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detail,"12,490",0.40%,0.084,$45.67 ,$46.75 ,"$97,250 ",0.80%
23-1022,"Arbitrators, Mediators, and Conciliators",detail,"7,780",13.60%,0.053,$30.78 ,$47.56 ,"$98,920 ",23.20%
23-1023,"Judges, Magistrate Judges, and Magistrates",detail,"28,230",0.50%,0.191,$72.61 ,$73.90 ,"$153,700 ",1.10%
23-2000,Legal Support Workers,minor,"445,400",1.20%,3.012,$28.28 ,$30.60 ,"$63,640 ",2.00%
23-2011,Paralegals and Legal Assistants,detail,"345,240",1.80%,2.335,$28.46 ,$30.21 ,"$62,840 ",2.10%
23-2090,Miscellaneous Legal Support Workers,broad,"100,160",2.20%,0.677,$27.33 ,$31.92 ,"$66,390 ",1.40%
23-2093,"Title Examiners, Abstractors, and Searchers",detail,"53,680",3.80%,0.363,$24.28 ,$27.42 ,"$57,030 ",1.70%
23-2099,"Legal Support Workers, All Other",detail,"46,480",2.00%,0.314,$29.97 ,$37.11 ,"$77,200 ",1.80%
25-0000,Educational Instruction and Library Occupations,major,"8,496,780",0.20%,57.455,$27.64 ,$30.41 ,"$63,240 ",0.50%
25-1000,Postsecondary Teachers,minor,"1,380,290",0.10%,9.333,-4,-4,"$96,130 ",0.50%
25-1011,"Business Teachers, Postsecondary",detail,"78,410",0.40%,0.53,-4,-4,"$108,060 ",0.70%
25-1020,"Math and Computer Science Teachers, Postsecondary",broad,"80,430",0.30%,0.544,-4,-4,"$93,690 ",0.60%
25-1021,"Computer Science Teachers, Postsecondary",detail,"33,870",0.60%,0.229,-4,-4,"$98,610 ",0.70%
25-1022,"Mathematical Science Teachers, Postsecondary",detail,"46,560",0.40%,0.315,-4,-4,"$90,110 ",0.60%
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,"42,440",0.50%,0.287,-4,-4,"$112,940 ",0.60%
25-1031,"Architecture Teachers, Postsecondary",detail,"6,420",1.10%,0.043,-4,-4,"$104,370 ",0.70%
25-1032,"Engineering Teachers, Postsecondary",detail,"36,010",0.50%,0.244,-4,-4,"$114,470 ",0.60%
25-1040,"Life Sciences Teachers, Postsecondary",broad,"59,420",0.40%,0.402,-4,-4,"$97,650 ",0.60%
25-1041,"Agricultural Sciences Teachers, Postsecondary",detail,"8,240",2.10%,0.056,-4,-4,"$96,650 ",0.80%
25-1042,"Biological Science Teachers, Postsecondary",detail,"49,920",0.30%,0.338,-4,-4,"$97,800 ",0.50%
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detail,"1,270",3.20%,0.009,-4,-4,"$98,160 ",1.10%
25-1050,"Physical Sciences Teachers, Postsecondary",broad,"50,900",0.20%,0.344,-4,-4,"$98,880 ",0.60%
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detail,"11,150",0.60%,0.075,-4,-4,"$107,540 ",0.70%
25-1052,"Chemistry Teachers, Postsecondary",detail,"20,650",0.30%,0.14,-4,-4,"$95,250 ",0.60%
25-1053,"Environmental Science Teachers, Postsecondary",detail,"6,240",0.60%,0.042,-4,-4,"$91,450 ",0.60%
25-1054,"Physics Teachers, Postsecondary",detail,"12,860",0.40%,0.087,-4,-4,"$100,810 ",0.50%
25-1060,"Social Sciences Teachers, Postsecondary",broad,"112,710",0.50%,0.762,-4,-4,"$94,480 ",0.60%
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detail,"4,930",0.30%,0.033,-4,-4,"$98,940 ",0.60%
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detail,"9,340",0.50%,0.063,-4,-4,"$92,980 ",0.60%
25-1063,"Economics Teachers, Postsecondary",detail,"11,640",0.60%,0.079,-4,-4,"$122,750 ",0.60%
25-1064,"Geography Teachers, Postsecondary",detail,"3,340",0.60%,0.023,-4,-4,"$87,880 ",0.60%
25-1065,"Political Science Teachers, Postsecondary",detail,"15,190",0.70%,0.103,-4,-4,"$98,420 ",0.50%
25-1066,"Psychology Teachers, Postsecondary",detail,"40,050",1.60%,0.271,-4,-4,"$88,470 ",0.70%
25-1067,"Sociology Teachers, Postsecondary",detail,"12,030",0.70%,0.081,-4,-4,"$90,200 ",0.70%
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detail,"16,200",1.10%,0.11,-4,-4,"$89,350 ",0.70%
25-1070,"Health Teachers, Postsecondary",broad,"276,880",0.30%,1.872,-4,-4,"$116,780 ",0.60%
25-1071,"Health Specialties Teachers, Postsecondary",detail,"207,700",0.40%,1.404,-4,-4,"$127,640 ",0.60%
25-1072,"Nursing Instructors and Teachers, Postsecondary",detail,"69,190",0.80%,0.468,-4,-4,"$84,180 ",0.60%
25-1080,"Education and Library Science Teachers, Postsecondary",broad,"62,610",0.70%,0.423,-4,-4,"$78,770 ",0.60%
25-1081,"Education Teachers, Postsecondary",detail,"58,280",0.70%,0.394,-4,-4,"$78,540 ",0.60%
25-1082,"Library Science Teachers, Postsecondary",detail,"4,330",0.50%,0.029,-4,-4,"$81,720 ",0.60%
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"40,780",0.60%,0.276,-4,-4,"$97,900 ",0.80%
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detail,"13,900",0.90%,0.094,-4,-4,"$78,980 ",0.70%
25-1112,"Law Teachers, Postsecondary",detail,"14,830",1.40%,0.1,-4,-4,"$133,950 ",1.00%
25-1113,"Social Work Teachers, Postsecondary",detail,"12,050",1.10%,0.081,-4,-4,"$75,330 ",0.50%
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",broad,"242,260",0.50%,1.638,-4,-4,"$88,260 ",0.50%
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detail,"97,830",0.90%,0.662,-4,-4,"$93,440 ",0.70%
25-1122,"Communications Teachers, Postsecondary",detail,"27,350",0.40%,0.185,-4,-4,"$84,700 ",0.60%
25-1123,"English Language and Literature Teachers, Postsecondary",detail,"57,680",0.40%,0.39,-4,-4,"$83,130 ",0.70%
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detail,"19,520",0.70%,0.132,-4,-4,"$83,300 ",0.60%
25-1125,"History Teachers, Postsecondary",detail,"18,250",0.50%,0.123,-4,-4,"$88,640 ",0.60%
25-1126,"Philosophy and Religion Teachers, Postsecondary",detail,"21,620",1.20%,0.146,-4,-4,"$87,100 ",0.70%
25-1190,Miscellaneous Postsecondary Teachers,broad,"333,440",0.40%,2.255,-4,-4,"$83,240 ",0.60%
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",detail,"2,420",1.20%,0.016,-4,-4,"$89,840 ",0.70%
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detail,"13,400",0.80%,0.091,-4,-4,"$82,020 ",0.60%
25-1194,"Career/Technical Education Teachers, Postsecondary",detail,"103,100",1.00%,0.697,$28.77 ,$31.49 ,"$65,500 ",0.60%
25-1199,"Postsecondary Teachers, All Other",detail,"214,520",0.50%,1.451,-4,-4,"$91,760 ",0.70%
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",minor,"4,177,640",0.40%,28.249,-4,-4,"$65,580 ",0.50%
25-2010,Preschool and Kindergarten Teachers,broad,"534,610",1.40%,3.615,$17.79 ,$21.42 ,"$44,540 ",0.80%
25-2011,"Preschool Teachers, Except Special Education",detail,"415,360",1.80%,2.809,$16.99 ,$18.58 ,"$38,640 ",0.90%
25-2012,"Kindergarten Teachers, Except Special Education",detail,"119,250",1.20%,0.806,-4,-4,"$65,120 ",0.80%
25-2020,Elementary and Middle School Teachers,broad,"2,016,430",0.50%,13.635,-4,-4,"$67,930 ",0.50%
25-2021,"Elementary School Teachers, Except Special Education",detail,"1,394,200",0.70%,9.428,-4,-4,"$68,000 ",0.60%
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detail,"611,120",1.60%,4.132,-4,-4,"$67,790 ",0.70%
25-2023,"Career/Technical Education Teachers, Middle School",detail,"11,110",2.80%,0.075,-4,-4,"$67,680 ",1.00%
25-2030,Secondary School Teachers,broad,"1,130,370",1.10%,7.644,-4,-4,"$69,330 ",0.60%
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detail,"1,042,090",1.20%,7.047,-4,-4,"$69,480 ",0.60%
25-2032,"Career/Technical Education Teachers, Secondary School",detail,"88,280",1.60%,0.597,-4,-4,"$67,610 ",0.90%
25-2050,Special Education Teachers,broad,"496,220",0.70%,3.355,-4,-4,"$70,110 ",0.50%
25-2051,"Special Education Teachers, Preschool",detail,"22,970",5.40%,0.155,-4,-4,"$69,620 ",1.10%
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detail,"195,010",1.30%,1.319,-4,-4,"$68,580 ",0.70%
25-2057,"Special Education Teachers, Middle School",detail,"82,970",2.40%,0.561,-4,-4,"$69,530 ",0.90%
25-2058,"Special Education Teachers, Secondary School",detail,"152,490",1.50%,1.031,-4,-4,"$71,290 ",0.70%
25-2059,"Special Education Teachers, All Other",detail,"42,780",3.40%,0.289,-4,-4,"$74,310 ",1.60%
25-3000,Other Teachers and Instructors,minor,"977,300",0.90%,6.608,$18.51 ,$23.41 ,"$48,700 ",0.60%
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detail,"36,490",2.40%,0.247,$28.17 ,$30.35 ,"$63,130 ",0.90%
25-3021,Self-Enrichment Teachers,detail,"248,150",1.10%,1.678,$21.21 ,$24.19 ,"$50,320 ",1.00%
25-3031,"Substitute Teachers, Short-Term",detail,"397,200",1.90%,2.686,$16.95 ,$20.52 ,"$42,680 ",0.80%
25-3041,Tutors,detail,"174,980",1.90%,1.183,$17.63 ,$21.55 ,"$44,820 ",1.50%
25-3099,"Teachers and Instructors, All Other",detail,"120,480",1.60%,0.815,-4,-4,"$66,450 ",0.80%
25-4000,"Librarians, Curators, and Archivists",minor,"236,090",0.80%,1.596,$24.62 ,$27.28 ,"$56,750 ",0.50%
25-4010,"Archivists, Curators, and Museum Technicians",broad,"31,080",1.20%,0.21,$25.68 ,$29.28 ,"$60,900 ",1.40%
25-4011,Archivists,detail,"7,230",3.20%,0.049,$28.19 ,$30.76 ,"$63,980 ",1.30%
25-4012,Curators,detail,"11,620",1.60%,0.079,$29.03 ,$32.45 ,"$67,490 ",2.70%
25-4013,Museum Technicians and Conservators,detail,"12,240",1.90%,0.083,$22.72 ,$25.40 ,"$52,820 ",1.00%
25-4022,Librarians and Media Collections Specialists,detail,"131,680",0.80%,0.89,$29.65 ,$31.14 ,"$64,770 ",0.50%
25-4031,Library Technicians,detail,"73,330",1.50%,0.496,$18.08 ,$19.52 ,"$40,590 ",0.50%
25-9000,Other Educational Instruction and Library Occupations,minor,"1,725,460",0.40%,11.667,-4,-4,"$40,410 ",0.50%
25-9021,Farm and Home Management Educators,detail,"8,220",2.70%,0.056,$25.70 ,$28.10 ,"$58,450 ",2.10%
25-9031,Instructional Coordinators,detail,"198,660",0.80%,1.343,$31.97 ,$35.14 ,"$73,080 ",0.70%
25-9040,Teaching Assistants,broad,"1,389,400",0.50%,9.395,-4,-4,"$34,530 ",0.50%
25-9044,"Teaching Assistants, Postsecondary",detail,"135,160",0.40%,0.914,-4,-4,"$41,900 ",0.50%
25-9045,"Teaching Assistants, Except Postsecondary",detail,"1,254,240",0.50%,8.481,-4,-4,"$33,740 ",0.50%
25-9099,"Educational Instruction and Library Workers, All Other",detail,"129,170",1.10%,0.873,$22.91 ,$25.12 ,"$52,250 ",0.90%
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"2,063,380",0.50%,13.952,$27.90 ,$36.78 ,"$76,500 ",1.00%
27-1000,Art and Design Workers,minor,"678,620",0.70%,4.589,$24.59 ,$31.34 ,"$65,180 ",1.50%
27-1010,Artists and Related Workers,broad,"114,810",3.10%,0.776,$45.78 ,$51.95 ,"$108,050 ",1.40%
27-1011,Art Directors,detail,"54,470",3.30%,0.368,$50.57 ,$59.76 ,"$124,310 ",1.10%
27-1012,Craft Artists,detail,"4,760",5.80%,0.032,$18.34 ,$23.65 ,"$49,180 ",2.30%
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detail,"12,080",13.40%,0.082,$27.67 ,$33.59 ,"$69,870 ",7.40%
27-1014,Special Effects Artists and Animators,detail,"35,990",9.50%,0.243,$47.57 ,$53.43 ,"$111,130 ",2.20%
27-1019,"Artists and Related Workers, All Other",detail,"7,510",6.60%,0.051,$33.54 ,$35.64 ,"$74,130 ",2.60%
27-1020,Designers,broad,"563,810",1.10%,3.812,$22.59 ,$27.14 ,"$56,450 ",1.10%
27-1021,Commercial and Industrial Designers,detail,"30,450",2.40%,0.206,$36.50 ,$39.30 ,"$81,740 ",1.50%
27-1022,Fashion Designers,detail,"20,560",4.50%,0.139,$36.87 ,$41.23 ,"$85,760 ",2.30%
27-1023,Floral Designers,detail,"42,840",2.30%,0.29,$15.94 ,$16.50 ,"$34,310 ",0.70%
27-1024,Graphic Designers,detail,"211,890",0.80%,1.433,$27.88 ,$31.01 ,"$64,500 ",1.20%
27-1025,Interior Designers,detail,"64,290",1.70%,0.435,$29.61 ,$32.43 ,"$67,460 ",0.90%
27-1026,Merchandise Displayers and Window Trimmers,detail,"173,110",2.00%,1.171,$17.01 ,$18.33 ,"$38,120 ",0.90%
27-1027,Set and Exhibit Designers,detail,"9,490",3.80%,0.064,$28.84 ,$32.93 ,"$68,490 ",2.60%
27-1029,"Designers, All Other",detail,"11,180",7.00%,0.076,$31.44 ,$36.75 ,"$76,430 ",4.20%
27-2000,"Entertainers and Performers, Sports and Related Workers",minor,"526,600",1.90%,3.561,$25.45 ,$40.88 ,"$85,030 ",1.80%
27-2010,"Actors, Producers, and Directors",broad,"207,920",4.00%,1.406,$36.27 ,$48.74 ,"$101,370 ",1.60%
27-2011,Actors,detail,"54,160",7.20%,0.366,$17.94 ,$36.06 ,-4,4.00%
27-2012,Producers and Directors,detail,"153,770",3.20%,1.04,$41.02 ,$53.20 ,"$110,660 ",1.60%
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,"243,620",1.30%,1.647,-4,-4,"$71,730 ",4.10%
27-2021,Athletes and Sports Competitors,detail,"11,930",8.70%,0.081,-4,-4,"$358,080 ",11.40%
27-2022,Coaches and Scouts,detail,"218,970",1.50%,1.481,-4,-4,"$57,450 ",1.70%
27-2023,"Umpires, Referees, and Other Sports Officials",detail,"12,720",4.50%,0.086,-4,-4,"$49,030 ",11.10%
27-2030,Dancers and Choreographers,broad,"14,340",10.40%,0.097,$22.62 ,$25.99 ,"$54,050 ",2.70%
27-2031,Dancers,detail,"8,930",13.70%,0.06,$21.64 ,$24.62 ,-4,3.90%
27-2032,Choreographers,detail,"5,400",9.30%,0.037,$24.52 ,$28.24 ,"$58,740 ",3.50%
27-2040,"Musicians, Singers, and Related Workers",broad,"43,440",2.50%,0.294,$36.01 ,$49.05 ,-4,2.90%
27-2041,Music Directors and Composers,detail,"11,690",4.80%,0.079,$30.26 ,$45.88 ,"$95,430 ",9.20%
27-2042,Musicians and Singers,detail,"31,750",2.70%,0.215,$39.14 ,$50.21 ,-4,2.50%
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,"17,280",6.60%,0.117,$20.90 ,$28.30 ,-4,6.70%
27-2091,"Disc Jockeys, Except Radio",detail,"5,640",6.50%,0.038,$21.34 ,$25.48 ,-4,4.20%
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detail,"11,640",9.20%,0.079,$20.31 ,$29.67 ,-4,9.40%
27-3000,Media and Communication Workers,minor,"630,340",0.70%,4.262,$31.85 ,$40.81 ,"$84,890 ",1.10%
27-3011,Broadcast Announcers and Radio Disc Jockeys,detail,"26,820",6.40%,0.181,$20.07 ,$74.87 ,"$155,730 ",7.30%
27-3023,"News Analysts, Reporters, and Journalists",detail,"44,530",3.20%,0.301,$26.90 ,$41.49 ,"$86,290 ",5.70%
27-3031,Public Relations Specialists,detail,"264,750",1.50%,1.79,$32.42 ,$37.76 ,"$78,540 ",1.20%
27-3040,Writers and Editors,broad,"204,060",1.70%,1.38,$36.10 ,$41.86 ,"$87,070 ",1.10%
27-3041,Editors,detail,"101,430",1.40%,0.686,$35.14 ,$40.78 ,"$84,820 ",1.30%
27-3042,Technical Writers,detail,"48,620",2.00%,0.329,$38.44 ,$41.71 ,"$86,760 ",1.30%
27-3043,Writers and Authors,detail,"54,010",5.00%,0.365,$35.17 ,$44.02 ,"$91,560 ",2.90%
27-3090,Miscellaneous Media and Communication Workers,broad,"90,190",1.80%,0.61,$27.97 ,$36.94 ,"$76,830 ",1.50%
27-3091,Interpreters and Translators,detail,"52,160",3.10%,0.353,$25.79 ,$29.68 ,"$61,730 ",1.60%
27-3092,Court Reporters and Simultaneous Captioners,detail,"14,240",2.50%,0.096,$30.56 ,$33.79 ,"$70,290 ",1.30%
27-3099,"Media and Communication Workers, All Other",detail,"23,780",3.50%,0.161,$31.25 ,$54.73 ,"$113,840 ",3.10%
27-4000,Media and Communication Equipment Workers,minor,"227,810",2.40%,1.54,$25.40 ,$32.36 ,"$67,310 ",1.00%
27-4010,"Broadcast, Sound, and Lighting Technicians",broad,"111,090",1.90%,0.751,$25.94 ,$33.27 ,"$69,190 ",1.50%
27-4011,Audio and Video Technicians,detail,"56,110",2.60%,0.379,$24.36 ,$27.74 ,"$57,710 ",1.20%
27-4012,Broadcast Technicians,detail,"33,020",3.40%,0.223,$29.19 ,$40.80 ,"$84,860 ",3.50%
27-4014,Sound Engineering Technicians,detail,"13,420",5.10%,0.091,$29.17 ,$36.34 ,"$75,590 ",2.30%
27-4015,Lighting Technicians,detail,"8,540",5.30%,0.058,$29.64 ,$35.59 ,"$74,020 ",2.40%
27-4021,Photographers,detail,"47,380",1.80%,0.32,$19.31 ,$24.14 ,"$50,210 ",1.20%
27-4030,"Television, Video, and Film Camera Operators and Editors",broad,"55,040",5.50%,0.372,$30.01 ,$36.72 ,"$76,380 ",1.90%
27-4031,"Camera Operators, Television, Video, and Film",detail,"22,970",13.60%,0.155,$27.99 ,$33.63 ,"$69,940 ",5.40%
27-4032,Film and Video Editors,detail,"32,080",3.50%,0.217,$30.54 ,$38.94 ,"$80,990 ",3.10%
27-4099,"Media and Communication Equipment Workers, All Other",detail,"14,300",5.00%,0.097,$33.41 ,$35.81 ,"$74,490 ",1.50%
29-0000,Healthcare Practitioners and Technical Occupations,major,"9,043,070",0.20%,61.149,$37.38 ,$46.52 ,"$96,770 ",0.30%
29-1000,Healthcare Diagnosing or Treating Practitioners,minor,"5,965,270",0.20%,40.337,$45.05 ,$57.21 ,"$118,990 ",0.30%
29-1011,Chiropractors,detail,"37,740",3.30%,0.255,$36.24 ,$40.25 ,"$83,720 ",1.60%
29-1020,Dentists,broad,"136,970",2.50%,0.926,$76.70 ,$86.97 ,"$180,900 ",1.90%
29-1021,"Dentists, General",detail,"120,740",3.10%,0.816,$74.54 ,$82.83 ,"$172,290 ",1.70%
29-1022,Oral and Maxillofacial Surgeons,detail,"4,290",11.90%,0.029,-5,$148.76 ,"$309,410 ",5.50%
29-1023,Orthodontists,detail,"6,310",9.20%,0.043,$83.83 ,$104.00 ,"$216,320 ",8.10%
29-1029,"Dentists, All Other Specialists",detail,"5,250",9.30%,0.035,$102.28 ,$112.23 ,"$233,430 ",7.40%
29-1031,Dietitians and Nutritionists,detail,"69,880",2.50%,0.473,$31.95 ,$33.34 ,"$69,350 ",0.60%
29-1041,Optometrists,detail,"40,640",3.10%,0.275,$60.38 ,$63.99 ,"$133,100 ",1.90%
29-1051,Pharmacists,detail,"325,480",0.80%,2.201,$63.82 ,$62.22 ,"$129,410 ",0.50%
29-1071,Physician Assistants,detail,"140,910",2.10%,0.953,$60.58 ,$60.23 ,"$125,270 ",0.40%
29-1081,Podiatrists,detail,"9,320",2.80%,0.063,$71.50 ,$75.95 ,"$157,970 ",1.70%
29-1120,Therapists,broad,"712,330",0.80%,4.817,$40.37 ,$42.69 ,"$88,800 ",0.30%
29-1122,Occupational Therapists,detail,"134,980",0.90%,0.913,$44.80 ,$44.61 ,"$92,800 ",0.40%
29-1123,Physical Therapists,detail,"229,740",1.10%,1.554,$46.98 ,$47.10 ,"$97,960 ",0.60%
29-1124,Radiation Therapists,detail,"15,510",5.40%,0.105,$43.04 ,$47.28 ,"$98,340 ",0.90%
29-1125,Recreational Therapists,detail,"15,920",1.40%,0.108,$24.68 ,$27.07 ,"$56,310 ",0.70%
29-1126,Respiratory Therapists,detail,"129,910",0.60%,0.878,$33.91 ,$35.73 ,"$74,310 ",0.30%
29-1127,Speech-Language Pathologists,detail,"162,760",1.70%,1.101,$40.45 ,$43.01 ,"$89,460 ",0.40%
29-1128,Exercise Physiologists,detail,"6,580",3.80%,0.045,$24.69 ,$26.84 ,"$55,820 ",0.60%
29-1129,"Therapists, All Other",detail,"16,920",5.10%,0.114,$29.23 ,$34.55 ,"$71,860 ",2.70%
29-1131,Veterinarians,detail,"78,810",1.10%,0.533,$49.64 ,$62.07 ,"$129,110 ",4.30%
29-1141,Registered Nurses,detail,"3,072,700",0.30%,20.777,$39.05 ,$42.80 ,"$89,010 ",0.20%
29-1151,Nurse Anesthetists,detail,"46,540",4.40%,0.315,$97.64 ,$98.93 ,"$205,770 ",0.90%
29-1161,Nurse Midwives,detail,"7,950",4.30%,0.054,$58.12 ,$58.87 ,"$122,450 ",1.10%
29-1171,Nurse Practitioners,detail,"258,230",1.80%,1.746,$58.47 ,$59.94 ,"$124,680 ",0.70%
29-1181,Audiologists,detail,"13,940",4.30%,0.094,$39.75 ,$43.02 ,"$89,490 ",1.70%
29-1210,Physicians,broad,"702,910",0.70%,4.753,$109.22 ,$121.15 ,"$251,990 ",0.50%
29-1211,Anesthesiologists,detail,"37,430",7.60%,0.253,-5,$145.66 ,"$302,970 ",3.50%
29-1212,Cardiologists,detail,"16,870",5.10%,0.114,-5,$202.56 ,"$421,330 ",4.00%
29-1213,Dermatologists,detail,"11,640",6.30%,0.079,-5,$157.53 ,"$327,650 ",9.70%
29-1214,Emergency Medicine Physicians,detail,"29,260",5.60%,0.198,-5,$152.21 ,"$316,600 ",2.10%
29-1215,Family Medicine Physicians,detail,"100,940",2.40%,0.683,$101.59 ,$107.91 ,"$224,460 ",2.10%
29-1216,General Internal Medicine Physicians,detail,"67,220",2.60%,0.455,$103.11 ,$108.30 ,"$225,270 ",1.40%
29-1217,Neurologists,detail,"11,340",8.80%,0.077,$107.82 ,$122.84 ,"$255,510 ",4.60%
29-1218,Obstetricians and Gynecologists,detail,"21,450",6.20%,0.145,-5,$133.33 ,"$277,320 ",2.30%
29-1221,"Pediatricians, General",detail,"33,430",13.00%,0.226,$91.51 ,$97.71 ,"$203,240 ",2.60%
29-1222,"Physicians, Pathologists",detail,"12,320",6.40%,0.083,-5,$121.56 ,"$252,850 ",2.90%
29-1223,Psychiatrists,detail,"26,500",4.50%,0.179,$109.08 ,$118.92 ,"$247,350 ",2.60%
29-1224,Radiologists,detail,"29,250",6.30%,0.198,-5,$158.21 ,"$329,080 ",2.50%
